Id|Name|Report Date|Avg mph|Total volume
5|M25/5764B|2016-02-01T00:14:00|61|118
5|M25/5764B|2016-02-01T00:29:00|61|114
5|M25/5764B|2016-02-01T00:44:00|63|96
5|M25/5764B|2016-02-01T00:59:00|63|116
5|M25/5764B|2016-02-01T01:14:00|59|119
5|M25/5764B|2016-02-01T01:29:00|58|103
5|M25/5764B|2016-02-01T01:44:00|57|89
5|M25/5764B|2016-02-01T01:59:00|56|88
5|M25/5764B|2016-02-01T02:14:00|57|99
5|M25/5764B|2016-02-01T02:29:00|56|82
5|M25/5764B|2016-02-01T02:44:00|57|77
5|M25/5764B|2016-02-01T02:59:00|58|93
5|M25/5764B|2016-02-01T03:14:00|57|118
5|M25/5764B|2016-02-01T03:29:00|56|86
5|M25/5764B|2016-02-01T03:44:00|58|113
5|M25/5764B|2016-02-01T03:59:00|58|107
5|M25/5764B|2016-02-01T04:14:00|58|162
5|M25/5764B|2016-02-01T04:29:00|59|236
5|M25/5764B|2016-02-01T04:44:00|58|276
5|M25/5764B|2016-02-01T04:59:00|60|296
5|M25/5764B|2016-02-01T05:14:00|60|331
5|M25/5764B|2016-02-01T05:29:00|60|447
5|M25/5764B|2016-02-01T05:44:00|61|515
5|M25/5764B|2016-02-01T05:59:00|60|750
5|M25/5764B|2016-02-01T06:14:00|60|862
5|M25/5764B|2016-02-01T06:29:00|58|898
5|M25/5764B|2016-02-01T06:44:00|58|816
5|M25/5764B|2016-02-01T06:59:00|33|761
5|M25/5764B|2016-02-01T07:14:00|23|804
5|M25/5764B|2016-02-01T07:29:00|32|905
5|M25/5764B|2016-02-01T07:44:00|54|858
5|M25/5764B|2016-02-01T07:59:00|58|815
5|M25/5764B|2016-02-01T08:14:00|57|651
5|M25/5764B|2016-02-01T08:29:00|34|605
5|M25/5764B|2016-02-01T08:44:00|10|487
5|M25/5764B|2016-02-01T08:59:00|8|455
5|M25/5764B|2016-02-01T09:14:00|16|664
5|M25/5764B|2016-02-01T09:29:00|52|478
5|M25/5764B|2016-02-01T09:44:00|23|573
5|M25/5764B|2016-02-01T09:59:00|9|411
5|M25/5764B|2016-02-01T10:14:00|33|584
5|M25/5764B|2016-02-01T10:29:00|55|568
5|M25/5764B|2016-02-01T10:44:00|58|642
5|M25/5764B|2016-02-01T10:59:00|57|658
5|M25/5764B|2016-02-01T11:14:00|56|642
5|M25/5764B|2016-02-01T11:29:00|61|558
5|M25/5764B|2016-02-01T11:44:00|60|602
5|M25/5764B|2016-02-01T11:59:00|61|599
5|M25/5764B|2016-02-01T12:14:00|61|569
5|M25/5764B|2016-02-01T12:29:00|62|588
5|M25/5764B|2016-02-01T12:44:00|60|624
5|M25/5764B|2016-02-01T12:59:00|61|629
5|M25/5764B|2016-02-01T13:14:00|58|643
5|M25/5764B|2016-02-01T13:29:00|60|691
5|M25/5764B|2016-02-01T13:44:00|61|622
5|M25/5764B|2016-02-01T13:59:00|61|613
5|M25/5764B|2016-02-01T14:14:00|62|631
5|M25/5764B|2016-02-01T14:29:00|61|725
5|M25/5764B|2016-02-01T14:44:00|62|632
5|M25/5764B|2016-02-01T14:59:00|61|653
5|M25/5764B|2016-02-01T15:14:00|61|585
