Id|Name|Report Date|Avg mph|Total volume
6|M27/9273A|2016-02-01T00:14:00|74|100
6|M27/9273A|2016-02-01T00:29:00|74|52
6|M27/9273A|2016-02-01T00:44:00|73|53
6|M27/9273A|2016-02-01T00:59:00|66|39
6|M27/9273A|2016-02-01T01:14:00|71|38
6|M27/9273A|2016-02-01T01:29:00|67|31
6|M27/9273A|2016-02-01T01:44:00|68|21
6|M27/9273A|2016-02-01T01:59:00|69|33
6|M27/9273A|2016-02-01T02:14:00|71|28
6|M27/9273A|2016-02-01T02:29:00|70|26
6|M27/9273A|2016-02-01T02:44:00|69|26
6|M27/9273A|2016-02-01T02:59:00|61|17
6|M27/9273A|2016-02-01T03:14:00|63|25
6|M27/9273A|2016-02-01T03:29:00|64|27
6|M27/9273A|2016-02-01T03:44:00|61|27
6|M27/9273A|2016-02-01T03:59:00|65|24
6|M27/9273A|2016-02-01T04:14:00|64|30
6|M27/9273A|2016-02-01T04:29:00|66|42
6|M27/9273A|2016-02-01T04:44:00|63|70
6|M27/9273A|2016-02-01T04:59:00|68|72
6|M27/9273A|2016-02-01T05:14:00|65|93
6|M27/9273A|2016-02-01T05:29:00|67|149
6|M27/9273A|2016-02-01T05:44:00|68|228
6|M27/9273A|2016-02-01T05:59:00|69|312
6|M27/9273A|2016-02-01T06:14:00|69|349
6|M27/9273A|2016-02-01T06:29:00|69|565
6|M27/9273A|2016-02-01T06:44:00|68|823
6|M27/9273A|2016-02-01T06:59:00|68|931
6|M27/9273A|2016-02-01T07:14:00|64|1231
6|M27/9273A|2016-02-01T07:29:00|59|1288
6|M27/9273A|2016-02-01T07:44:00|43|1135
6|M27/9273A|2016-02-01T07:59:00|22|919
6|M27/9273A|2016-02-01T08:14:00|12|625
6|M27/9273A|2016-02-01T08:29:00|14|724
6|M27/9273A|2016-02-01T08:44:00|13|727
6|M27/9273A|2016-02-01T08:59:00|16|742
6|M27/9273A|2016-02-01T09:14:00|21|861
6|M27/9273A|2016-02-01T09:29:00|59|810
6|M27/9273A|2016-02-01T09:44:00|70|692
6|M27/9273A|2016-02-01T09:59:00|70|647
6|M27/9273A|2016-02-01T10:14:00|70|645
6|M27/9273A|2016-02-01T10:29:00|70|628
6|M27/9273A|2016-02-01T10:44:00|69|616
6|M27/9273A|2016-02-01T10:59:00|68|620
6|M27/9273A|2016-02-01T11:14:00|69|626
6|M27/9273A|2016-02-01T11:29:00|69|705
6|M27/9273A|2016-02-01T11:44:00|69|659
6|M27/9273A|2016-02-01T11:59:00|69|609
6|M27/9273A|2016-02-01T12:14:00|70|683
6|M27/9273A|2016-02-01T12:29:00|70|648
6|M27/9273A|2016-02-01T12:44:00|70|646
6|M27/9273A|2016-02-01T12:59:00|69|651
6|M27/9273A|2016-02-01T13:14:00|70|651
6|M27/9273A|2016-02-01T13:29:00|69|649
6|M27/9273A|2016-02-01T13:44:00|69|635
6|M27/9273A|2016-02-01T13:59:00|69|653
6|M27/9273A|2016-02-01T14:14:00|70|653
6|M27/9273A|2016-02-01T14:29:00|70|681
6|M27/9273A|2016-02-01T14:44:00|70|726
6|M27/9273A|2016-02-01T14:59:00|68|724
6|M27/9273A|2016-02-01T15:14:00|70|751
6|M27/9273A|2016-02-01T15:29:00|69|746
6|M27/9273A|2016-02-01T15:44:00|69|844
6|M27/9273A|2016-02-01T15:59:00|69|903
6|M27/9273A|2016-02-01T16:14:00|69|1023
6|M27/9273A|2016-02-01T16:29:00|68|1076
6|M27/9273A|2016-02-01T16:44:00|68|1140
6|M27/9273A|2016-02-01T16:59:00|69|984
6|M27/9273A|2016-02-01T17:14:00|68|1059
6|M27/9273A|2016-02-01T17:29:00|67|1037
6|M27/9273A|2016-02-01T17:44:00|67|954
6|M27/9273A|2016-02-01T17:59:00|68|929
6|M27/9273A|2016-02-01T18:14:00|70|865
6|M27/9273A|2016-02-01T18:29:00|70|889
6|M27/9273A|2016-02-01T18:44:00|69|751
6|M27/9273A|2016-02-01T18:59:00|70|590
6|M27/9273A|2016-02-01T19:14:00|70|552
6|M27/9273A|2016-02-01T19:29:00|72|496
6|M27/9273A|2016-02-01T19:44:00|71|396
6|M27/9273A|2016-02-01T19:59:00|71|378
6|M27/9273A|2016-02-01T20:14:00|71|299
6|M27/9273A|2016-02-01T20:29:00|71|342
6|M27/9273A|2016-02-01T20:44:00|71|274
6|M27/9273A|2016-02-01T20:59:00|71|273
6|M27/9273A|2016-02-01T21:14:00|71|276
6|M27/9273A|2016-02-01T21:29:00|72|256
6|M27/9273A|2016-02-01T21:44:00|71|242
6|M27/9273A|2016-02-01T21:59:00|71|229
6|M27/9273A|2016-02-01T22:14:00|72|191
6|M27/9273A|2016-02-01T22:29:00|72|188
6|M27/9273A|2016-02-01T22:44:00|70|164
6|M27/9273A|2016-02-01T22:59:00|71|111
6|M27/9273A|2016-02-01T23:14:00|72|124
6|M27/9273A|2016-02-01T23:29:00|72|146
6|M27/9273A|2016-02-01T23:44:00|72|91
6|M27/9273A|2016-02-01T23:59:00|69|65
6|M27/9273A|2016-02-02T00:14:00|67|59
6|M27/9273A|2016-02-02T00:29:00|71|46
6|M27/9273A|2016-02-02T00:44:00|67|48
6|M27/9273A|2016-02-02T00:59:00|66|40
6|M27/9273A|2016-02-02T01:14:00|66|34
6|M27/9273A|2016-02-02T01:29:00|66|36
6|M27/9273A|2016-02-02T01:44:00|63|34
6|M27/9273A|2016-02-02T01:59:00|65|31
6|M27/9273A|2016-02-02T02:14:00|62|24
6|M27/9273A|2016-02-02T02:29:00|63|31
6|M27/9273A|2016-02-02T02:44:00|63|18
6|M27/9273A|2016-02-02T02:59:00|66|21
6|M27/9273A|2016-02-02T03:14:00|65|19
6|M27/9273A|2016-02-02T03:29:00|65|42
6|M27/9273A|2016-02-02T03:44:00|62|34
6|M27/9273A|2016-02-02T03:59:00|61|41
6|M27/9273A|2016-02-02T04:14:00|62|37
6|M27/9273A|2016-02-02T04:29:00|61|51
6|M27/9273A|2016-02-02T04:44:00|64|63
6|M27/9273A|2016-02-02T04:59:00|64|69
6|M27/9273A|2016-02-02T05:14:00|67|102
6|M27/9273A|2016-02-02T05:29:00|67|149
6|M27/9273A|2016-02-02T05:44:00|67|242
6|M27/9273A|2016-02-02T05:59:00|68|259
6|M27/9273A|2016-02-02T06:14:00|69|325
6|M27/9273A|2016-02-02T06:29:00|69|512
6|M27/9273A|2016-02-02T06:44:00|68|738
6|M27/9273A|2016-02-02T06:59:00|69|918
6|M27/9273A|2016-02-02T07:14:00|64|1096
6|M27/9273A|2016-02-02T07:29:00|42|1179
6|M27/9273A|2016-02-02T07:44:00|49|1248
6|M27/9273A|2016-02-02T07:59:00|21|964
6|M27/9273A|2016-02-02T08:14:00|16|749
6|M27/9273A|2016-02-02T08:29:00|13|633
6|M27/9273A|2016-02-02T08:44:00|14|682
6|M27/9273A|2016-02-02T08:59:00|16|828
6|M27/9273A|2016-02-02T09:14:00|24|906
6|M27/9273A|2016-02-02T09:29:00|68|833
6|M27/9273A|2016-02-02T09:44:00|69|752
6|M27/9273A|2016-02-02T09:59:00|68|748
6|M27/9273A|2016-02-02T10:14:00|69|609
6|M27/9273A|2016-02-02T10:29:00|68|622
6|M27/9273A|2016-02-02T10:44:00|68|602
6|M27/9273A|2016-02-02T10:59:00|68|535
6|M27/9273A|2016-02-02T11:14:00|67|653
6|M27/9273A|2016-02-02T11:29:00|67|668
6|M27/9273A|2016-02-02T11:44:00|69|621
6|M27/9273A|2016-02-02T11:59:00|68|648
6|M27/9273A|2016-02-02T12:14:00|69|632
6|M27/9273A|2016-02-02T12:29:00|70|610
6|M27/9273A|2016-02-02T12:44:00|70|607
6|M27/9273A|2016-02-02T12:59:00|70|656
6|M27/9273A|2016-02-02T13:14:00|69|667
6|M27/9273A|2016-02-02T13:29:00|69|672
6|M27/9273A|2016-02-02T13:44:00|69|670
6|M27/9273A|2016-02-02T13:59:00|70|625
6|M27/9273A|2016-02-02T14:14:00|69|701
6|M27/9273A|2016-02-02T14:29:00|70|672
6|M27/9273A|2016-02-02T14:44:00|69|755
6|M27/9273A|2016-02-02T14:59:00|69|792
6|M27/9273A|2016-02-02T15:14:00|70|729
6|M27/9273A|2016-02-02T15:29:00|69|893
6|M27/9273A|2016-02-02T15:44:00|68|814
6|M27/9273A|2016-02-02T15:59:00|70|914
6|M27/9273A|2016-02-02T16:14:00|69|1046
6|M27/9273A|2016-02-02T16:29:00|68|1173
6|M27/9273A|2016-02-02T16:44:00|68|1217
6|M27/9273A|2016-02-02T16:59:00|69|1077
6|M27/9273A|2016-02-02T17:14:00|69|1072
6|M27/9273A|2016-02-02T17:29:00|68|971
6|M27/9273A|2016-02-02T17:44:00|67|1002
6|M27/9273A|2016-02-02T17:59:00|68|1032
6|M27/9273A|2016-02-02T18:14:00|67|1046
6|M27/9273A|2016-02-02T18:29:00|69|934
6|M27/9273A|2016-02-02T18:44:00|71|791
6|M27/9273A|2016-02-02T18:59:00|71|667
6|M27/9273A|2016-02-02T19:14:00|72|590
6|M27/9273A|2016-02-02T19:29:00|71|537
6|M27/9273A|2016-02-02T19:44:00|71|421
6|M27/9273A|2016-02-02T19:59:00|72|381
6|M27/9273A|2016-02-02T20:14:00|73|347
6|M27/9273A|2016-02-02T20:29:00|72|353
6|M27/9273A|2016-02-02T20:44:00|70|283
6|M27/9273A|2016-02-02T20:59:00|71|299
6|M27/9273A|2016-02-02T21:14:00|72|241
6|M27/9273A|2016-02-02T21:29:00|71|254
6|M27/9273A|2016-02-02T21:44:00|70|203
6|M27/9273A|2016-02-02T21:59:00|68|225
6|M27/9273A|2016-02-02T22:14:00|54|157
6|M27/9273A|2016-02-02T22:29:00|57|192
6|M27/9273A|2016-02-02T22:44:00|61|143
6|M27/9273A|2016-02-02T22:59:00|60|95
6|M27/9273A|2016-02-02T23:14:00|59|99
6|M27/9273A|2016-02-02T23:29:00|62|94
6|M27/9273A|2016-02-02T23:44:00|58|73
6|M27/9273A|2016-02-02T23:59:00|61|76
6|M27/9273A|2016-02-03T00:14:00|62|42
6|M27/9273A|2016-02-03T00:29:00|59|58
6|M27/9273A|2016-02-03T00:44:00|62|43
6|M27/9273A|2016-02-03T00:59:00|58|46
6|M27/9273A|2016-02-03T01:14:00|59|32
6|M27/9273A|2016-02-03T01:29:00|59|42
6|M27/9273A|2016-02-03T01:44:00|57|28
6|M27/9273A|2016-02-03T01:59:00|57|16
6|M27/9273A|2016-02-03T02:14:00|58|33
6|M27/9273A|2016-02-03T02:29:00|56|27
6|M27/9273A|2016-02-03T02:44:00|60|31
6|M27/9273A|2016-02-03T02:59:00|62|41
6|M27/9273A|2016-02-03T03:14:00|58|33
6|M27/9273A|2016-02-03T03:29:00|51|30
6|M27/9273A|2016-02-03T03:44:00|55|42
6|M27/9273A|2016-02-03T03:59:00|56|39
6|M27/9273A|2016-02-03T04:14:00|61|50
6|M27/9273A|2016-02-03T04:29:00|60|55
6|M27/9273A|2016-02-03T04:44:00|67|78
6|M27/9273A|2016-02-03T04:59:00|64|73
6|M27/9273A|2016-02-03T05:14:00|66|110
6|M27/9273A|2016-02-03T05:29:00|66|148
6|M27/9273A|2016-02-03T05:44:00|67|209
6|M27/9273A|2016-02-03T05:59:00|68|247
6|M27/9273A|2016-02-03T06:14:00|68|289
6|M27/9273A|2016-02-03T06:29:00|69|489
6|M27/9273A|2016-02-03T06:44:00|68|702
6|M27/9273A|2016-02-03T06:59:00|68|860
6|M27/9273A|2016-02-03T07:14:00|65|1110
6|M27/9273A|2016-02-03T07:29:00|52|1297
6|M27/9273A|2016-02-03T07:44:00|34|1166
6|M27/9273A|2016-02-03T07:59:00|27|1039
6|M27/9273A|2016-02-03T08:14:00|14|770
6|M27/9273A|2016-02-03T08:29:00|22|914
6|M27/9273A|2016-02-03T08:44:00|18|874
6|M27/9273A|2016-02-03T08:59:00|33|933
6|M27/9273A|2016-02-03T09:14:00|67|782
6|M27/9273A|2016-02-03T09:29:00|69|817
6|M27/9273A|2016-02-03T09:44:00|69|786
6|M27/9273A|2016-02-03T09:59:00|70|763
6|M27/9273A|2016-02-03T10:14:00|69|712
6|M27/9273A|2016-02-03T10:29:00|70|656
6|M27/9273A|2016-02-03T10:44:00|69|693
6|M27/9273A|2016-02-03T10:59:00|70|620
6|M27/9273A|2016-02-03T11:14:00|69|581
6|M27/9273A|2016-02-03T11:29:00|69|624
6|M27/9273A|2016-02-03T11:44:00|70|652
6|M27/9273A|2016-02-03T11:59:00|69|596
6|M27/9273A|2016-02-03T12:14:00|69|647
6|M27/9273A|2016-02-03T12:29:00|70|651
6|M27/9273A|2016-02-03T12:44:00|70|664
6|M27/9273A|2016-02-03T12:59:00|71|725
6|M27/9273A|2016-02-03T13:14:00|70|728
6|M27/9273A|2016-02-03T13:29:00|70|707
6|M27/9273A|2016-02-03T13:44:00|70|710
6|M27/9273A|2016-02-03T13:59:00|70|727
6|M27/9273A|2016-02-03T14:14:00|71|675
6|M27/9273A|2016-02-03T14:29:00|70|777
6|M27/9273A|2016-02-03T14:44:00|70|735
6|M27/9273A|2016-02-03T14:59:00|70|761
6|M27/9273A|2016-02-03T15:14:00|70|764
6|M27/9273A|2016-02-03T15:29:00|70|844
6|M27/9273A|2016-02-03T15:44:00|68|922
6|M27/9273A|2016-02-03T15:59:00|69|1000
6|M27/9273A|2016-02-03T16:14:00|69|1026
6|M27/9273A|2016-02-03T16:29:00|68|1164
6|M27/9273A|2016-02-03T16:44:00|69|1042
6|M27/9273A|2016-02-03T16:59:00|70|1014
6|M27/9273A|2016-02-03T17:14:00|67|1107
6|M27/9273A|2016-02-03T17:29:00|67|1024
6|M27/9273A|2016-02-03T17:44:00|67|994
6|M27/9273A|2016-02-03T17:59:00|69|970
6|M27/9273A|2016-02-03T18:14:00|68|942
6|M27/9273A|2016-02-03T18:29:00|69|1013
6|M27/9273A|2016-02-03T18:44:00|70|759
6|M27/9273A|2016-02-03T18:59:00|71|703
6|M27/9273A|2016-02-03T19:14:00|71|579
6|M27/9273A|2016-02-03T19:29:00|72|564
6|M27/9273A|2016-02-03T19:44:00|71|404
6|M27/9273A|2016-02-03T19:59:00|72|419
6|M27/9273A|2016-02-03T20:14:00|73|359
6|M27/9273A|2016-02-03T20:29:00|72|385
6|M27/9273A|2016-02-03T20:44:00|71|306
6|M27/9273A|2016-02-03T20:59:00|71|291
