Id|Name|Report Date|Avg mph|Total volume
7|A1M/9869K|2016-02-02T01:44:00|19|1
7|A1M/9869K|2016-02-02T01:59:00|0|0
7|A1M/9869K|2016-02-02T02:14:00|22|1
7|A1M/9869K|2016-02-02T02:29:00|32|1
7|A1M/9869K|2016-02-02T02:44:00|26|2
7|A1M/9869K|2016-02-02T02:59:00|29|2
7|A1M/9869K|2016-02-02T03:14:00|26|1
7|A1M/9869K|2016-02-02T03:29:00|0|0
7|A1M/9869K|2016-02-02T03:44:00|23|2
7|A1M/9869K|2016-02-02T03:59:00|31|3
7|A1M/9869K|2016-02-02T04:14:00|19|1
7|A1M/9869K|2016-02-02T04:29:00|24|1
7|A1M/9869K|2016-02-02T04:44:00|34|1
7|A1M/9869K|2016-02-02T04:59:00|26|4
7|A1M/9869K|2016-02-02T05:14:00|29|3
7|A1M/9869K|2016-02-02T05:29:00|26|3
7|A1M/9869K|2016-02-02T05:44:00|31|8
7|A1M/9869K|2016-02-02T05:59:00|30|9
7|A1M/9869K|2016-02-02T06:14:00|28|15
7|A1M/9869K|2016-02-02T06:29:00|32|17
7|A1M/9869K|2016-02-02T06:44:00|26|11
7|A1M/9869K|2016-02-02T06:59:00|31|29
7|A1M/9869K|2016-02-02T07:14:00|33|30
7|A1M/9869K|2016-02-02T07:29:00|30|33
7|A1M/9869K|2016-02-02T07:44:00|31|78
7|A1M/9869K|2016-02-02T07:59:00|31|69
7|A1M/9869K|2016-02-02T08:14:00|33|54
7|A1M/9869K|2016-02-02T08:29:00|32|55
7|A1M/9869K|2016-02-02T08:44:00|32|43
7|A1M/9869K|2016-02-02T08:59:00|33|32
7|A1M/9869K|2016-02-02T09:14:00|33|39
7|A1M/9869K|2016-02-02T09:29:00|30|23
7|A1M/9869K|2016-02-02T09:44:00|33|31
7|A1M/9869K|2016-02-02T09:59:00|33|29
7|A1M/9869K|2016-02-02T10:14:00|32|19
7|A1M/9869K|2016-02-02T10:29:00|32|22
7|A1M/9869K|2016-02-02T10:44:00|30|26
7|A1M/9869K|2016-02-02T10:59:00|30|18
7|A1M/9869K|2016-02-02T11:14:00|29|23
7|A1M/9869K|2016-02-02T11:29:00|30|30
7|A1M/9869K|2016-02-02T11:44:00|30|22
7|A1M/9869K|2016-02-02T11:59:00|31|19
7|A1M/9869K|2016-02-02T12:14:00|31|26
7|A1M/9869K|2016-02-02T12:29:00|32|18
7|A1M/9869K|2016-02-02T12:44:00|31|25
7|A1M/9869K|2016-02-02T12:59:00|29|22
7|A1M/9869K|2016-02-02T13:14:00|30|26
7|A1M/9869K|2016-02-02T13:29:00|33|20
7|A1M/9869K|2016-02-02T13:44:00|31|32
7|A1M/9869K|2016-02-02T13:59:00|34|23
7|A1M/9869K|2016-02-02T14:14:00|31|31
7|A1M/9869K|2016-02-02T14:29:00|31|28
7|A1M/9869K|2016-02-02T14:44:00|32|32
7|A1M/9869K|2016-02-02T14:59:00|31|26
7|A1M/9869K|2016-02-02T15:14:00|32|42
7|A1M/9869K|2016-02-02T15:29:00|32|34
7|A1M/9869K|2016-02-02T15:44:00|33|34
7|A1M/9869K|2016-02-02T15:59:00|32|31
7|A1M/9869K|2016-02-02T16:14:00|31|44
7|A1M/9869K|2016-02-02T16:29:00|33|40
7|A1M/9869K|2016-02-02T16:44:00|31|51
7|A1M/9869K|2016-02-02T16:59:00|32|54
7|A1M/9869K|2016-02-02T17:14:00|32|67
7|A1M/9869K|2016-02-02T17:29:00|32|65
7|A1M/9869K|2016-02-02T17:44:00|32|49
7|A1M/9869K|2016-02-02T17:59:00|31|51
7|A1M/9869K|2016-02-02T18:14:00|30|44
7|A1M/9869K|2016-02-02T18:29:00|31|39
7|A1M/9869K|2016-02-02T18:44:00|31|27
7|A1M/9869K|2016-02-02T18:59:00|30|26
7|A1M/9869K|2016-02-02T19:14:00|32|25
7|A1M/9869K|2016-02-02T19:29:00|31|8
7|A1M/9869K|2016-02-02T19:44:00|32|8
7|A1M/9869K|2016-02-02T19:59:00|31|9
7|A1M/9869K|2016-02-02T20:14:00|31|8
7|A1M/9869K|2016-02-02T20:29:00|30|15
7|A1M/9869K|2016-02-02T20:44:00|32|7
7|A1M/9869K|2016-02-02T20:59:00|27|4
7|A1M/9869K|2016-02-02T21:14:00|28|6
7|A1M/9869K|2016-02-02T21:29:00|31|3
7|A1M/9869K|2016-02-02T21:44:00|30|4
7|A1M/9869K|2016-02-02T21:59:00|34|2
7|A1M/9869K|2016-02-02T22:14:00|35|5
7|A1M/9869K|2016-02-02T22:29:00|30|3
7|A1M/9869K|2016-02-02T22:44:00|31|7
7|A1M/9869K|2016-02-02T22:59:00|36|4
7|A1M/9869K|2016-02-02T23:14:00|32|1
7|A1M/9869K|2016-02-02T23:29:00|22|2
7|A1M/9869K|2016-02-02T23:44:00|33|3
7|A1M/9869K|2016-02-02T23:59:00|32|1
7|A1M/9869K|2016-02-03T00:14:00|10|1
7|A1M/9869K|2016-02-03T00:29:00|44|1
7|A1M/9869K|2016-02-03T00:44:00|0|0
7|A1M/9869K|2016-02-03T00:59:00|32|1
7|A1M/9869K|2016-02-03T01:14:00|0|0
7|A1M/9869K|2016-02-03T01:29:00|0|0
7|A1M/9869K|2016-02-03T01:44:00|39|1
7|A1M/9869K|2016-02-03T01:59:00|0|0
7|A1M/9869K|2016-02-03T02:14:00|0|0
7|A1M/9869K|2016-02-03T02:29:00|0|0
7|A1M/9869K|2016-02-03T02:44:00|25|5
7|A1M/9869K|2016-02-03T02:59:00|22|3
7|A1M/9869K|2016-02-03T03:14:00|0|0
7|A1M/9869K|2016-02-03T03:29:00|22|3
7|A1M/9869K|2016-02-03T03:44:00|22|1
7|A1M/9869K|2016-02-03T03:59:00|31|2
7|A1M/9869K|2016-02-03T04:14:00|23|1
7|A1M/9869K|2016-02-03T04:29:00|25|3
